"Variable","Class","N_Complete","N_Missing","Pct_Missing","Domain"
"motivation_2","numeric",367,55,13,"COM-B: Motivation"
"motivation_3","numeric",367,55,13,"COM-B: Motivation"
"capability_1","numeric",366,56,13.3,"COM-B: Capability"
"capability","numeric",366,56,13.3,"COM-B: Capability"
"desires_1","numeric",367,55,13,"COM-B: Desires"
"desires_2","numeric",366,56,13.3,"COM-B: Desires"
"inf_hcp_1","numeric",366,56,13.3,"COM-B: HCP Influence"
"inf_hcp_3","numeric",366,56,13.3,"COM-B: HCP Influence"
"stop_wdl_exp_combined","numeric",422,0,0,"Clinical: Withdrawal"
"wdl_symptom_count","numeric",422,0,0,"Clinical: Withdrawal"
"dbas1","numeric",355,67,15.9,"Personality: DBAS"
"dbas_2","numeric",355,67,15.9,"Personality: DBAS"
"dbas_3","numeric",355,67,15.9,"Personality: DBAS"
"dbas_4","numeric",355,67,15.9,"Personality: DBAS"
"dbas_5","numeric",355,67,15.9,"Personality: DBAS"
"dbas_6","numeric",355,67,15.9,"Personality: DBAS"
"dbas_7","numeric",355,67,15.9,"Personality: DBAS"
"dbas_8","numeric",355,67,15.9,"Personality: DBAS"
"dbas_9","numeric",355,67,15.9,"Personality: DBAS"
"dbas_10","numeric",355,67,15.9,"Personality: DBAS"
"dbas_11","numeric",355,67,15.9,"Personality: DBAS"
"dbas_12","numeric",355,67,15.9,"Personality: DBAS"
"dbas_13","numeric",355,67,15.9,"Personality: DBAS"
"dbas_14","numeric",355,67,15.9,"Personality: DBAS"
"dbas_15","numeric",355,67,15.9,"Personality: DBAS"
"dbas_16","numeric",355,67,15.9,"Personality: DBAS"
"reserved_r","numeric",355,67,15.9,"Personality: BFI"
"trusting","numeric",355,67,15.9,"Personality: BFI"
"lazy_r","numeric",355,67,15.9,"Personality: BFI"
"relaxed_r","numeric",355,67,15.9,"Personality: BFI"
"few_interests_r","numeric",355,67,15.9,"Personality: BFI"
"outgoing","numeric",355,67,15.9,"Personality: BFI"
"find_fault_r","numeric",355,67,15.9,"Personality: BFI"
"thorough","numeric",355,67,15.9,"Personality: BFI"
"nervous","numeric",355,67,15.9,"Personality: BFI"
"imagination","numeric",355,67,15.9,"Personality: BFI"
"surps1_r","numeric",354,68,16.1,"Personality: SURPS"
"surps2","numeric",354,68,16.1,"Personality: SURPS"
"surps3","numeric",354,68,16.1,"Personality: SURPS"
"surps4_r","numeric",354,68,16.1,"Personality: SURPS"
"surps5","numeric",354,68,16.1,"Personality: SURPS"
"surps6","numeric",354,68,16.1,"Personality: SURPS"
"surps7_r","numeric",354,68,16.1,"Personality: SURPS"
"surps8","numeric",354,68,16.1,"Personality: SURPS"
"surps9","numeric",353,69,16.4,"Personality: SURPS"
"surps10","numeric",353,69,16.4,"Personality: SURPS"
"surps11","numeric",353,69,16.4,"Personality: SURPS"
"surps12","numeric",353,69,16.4,"Personality: SURPS"
"surps13_r","numeric",353,69,16.4,"Personality: SURPS"
"surps14","numeric",353,69,16.4,"Personality: SURPS"
"surps15","numeric",353,69,16.4,"Personality: SURPS"
"surps16","numeric",353,69,16.4,"Personality: SURPS"
"surps17","numeric",351,71,16.8,"Personality: SURPS"
"surps18","numeric",351,71,16.8,"Personality: SURPS"
"surps19","numeric",351,71,16.8,"Personality: SURPS"
"surps20_r","numeric",351,71,16.8,"Personality: SURPS"
"surps21","numeric",351,71,16.8,"Personality: SURPS"
"surps22","numeric",351,71,16.8,"Personality: SURPS"
"surps23_r","numeric",351,71,16.8,"Personality: SURPS"
"ciss1","numeric",351,71,16.8,"Personality: CISS"
"ciss2","numeric",351,71,16.8,"Personality: CISS"
"ciss3","numeric",351,71,16.8,"Personality: CISS"
"ciss4","numeric",351,71,16.8,"Personality: CISS"
"ciss5","numeric",351,71,16.8,"Personality: CISS"
"ciss6","numeric",351,71,16.8,"Personality: CISS"
"ciss7","numeric",351,71,16.8,"Personality: CISS"
"ciss8","numeric",351,71,16.8,"Personality: CISS"
"ciss9","numeric",351,71,16.8,"Personality: CISS"
"ciss10","numeric",351,71,16.8,"Personality: CISS"
"ciss11","numeric",350,72,17.1,"Personality: CISS"
"ciss12","numeric",350,72,17.1,"Personality: CISS"
"ciss13","numeric",350,72,17.1,"Personality: CISS"
"ciss14","numeric",350,72,17.1,"Personality: CISS"
"ciss15","numeric",350,72,17.1,"Personality: CISS"
"ciss16","numeric",350,72,17.1,"Personality: CISS"
"ciss17","numeric",350,72,17.1,"Personality: CISS"
"ciss18","numeric",350,72,17.1,"Personality: CISS"
"ciss19","numeric",350,72,17.1,"Personality: CISS"
"ciss20","numeric",350,72,17.1,"Personality: CISS"
"ciss21","numeric",350,72,17.1,"Personality: CISS"
